date,t_years,cash_flow,zero_pct,discount_factor,pv_unnormalised,normalised_value,strip_type,price_per_100_face,implied_yield_semi_pct
2027-01-02,0.298426,3.565,5.270614,0.984595,3.51008,3.438574,Coupon,96.453684,12.472714
2027-07-02,0.793977,3.565,5.821356,0.955462,3.406222,3.336831,Coupon,93.599758,8.506448
2028-01-02,1.297741,3.565,5.98093,0.926372,3.302517,3.235239,Coupon,90.750053,7.620843
2028-07-02,1.79603,3.565,6.139902,0.897075,3.198073,3.132923,Coupon,87.880018,7.324449
2029-01-02,2.299795,3.565,6.275047,0.867538,3.092774,3.029769,Coupon,84.986515,7.200146
2029-07-02,2.795346,3.565,6.373682,0.839133,2.991508,2.930566,Coupon,82.203815,7.134845
2030-01-02,3.29911,3.565,6.455518,0.810901,2.890861,2.831969,Coupon,79.438125,7.100527
2030-07-02,3.794661,3.565,6.529871,0.783623,2.793616,2.736705,Coupon,76.765915,7.090736
2031-01-02,4.298426,3.565,6.607158,0.756227,2.69595,2.641029,Coupon,74.082154,7.102397
2031-07-02,4.793977,3.565,6.685384,0.729602,2.601032,2.548045,Coupon,71.473912,7.129543
2032-01-02,5.297741,3.565,6.762041,0.70306,2.50641,2.45535,Coupon,68.873779,7.164074
2032-07-02,5.79603,3.565,6.831196,0.677513,2.415334,2.36613,Coupon,66.371097,7.198757
2033-01-02,6.299795,3.565,6.891696,0.652561,2.326382,2.278989,Coupon,63.926769,7.22994
2033-07-02,6.795346,3.565,6.941349,0.62896,2.242242,2.196564,Coupon,61.614687,7.254983
2034-01-02,7.29911,3.565,6.982774,0.605934,2.160154,2.116148,Coupon,59.358977,7.274806
2034-07-02,7.794661,3.565,7.016505,0.584185,2.082619,2.040192,Coupon,57.228398,7.290002
2035-01-02,8.298426,3.565,7.046293,0.562892,2.006712,1.965832,Coupon,55.142539,7.303215
2035-07-02,8.793977,3.565,7.073657,0.542641,1.934514,1.895105,Coupon,53.158618,7.316124
2036-01-02,9.297741,3.565,7.100319,0.522714,1.863475,1.825513,Coupon,51.206535,7.329671
2036-07-02,9.79603,3.565,7.125017,0.503675,1.795602,1.759022,Coupon,49.341439,7.342723
2037-01-02,10.299795,3.565,7.147733,0.485124,1.729465,1.694233,Coupon,47.524077,7.354808
2037-07-02,10.795346,3.565,7.167543,0.467564,1.666866,1.632909,Coupon,45.803907,7.365127
2038-01-02,11.29911,3.565,7.18495,0.450412,1.605718,1.573007,Coupon,44.123613,7.373736
