tenor_years,zero_semi_pct,zero_annual_pct,par_semi_pct,discount_factor,fbil_zero_semi_pct,gap_bp
0.25,5.18,5.247081,5.146887,0.987296,5.18,0.0
0.5,5.59,5.66812,5.59,0.97281,5.59,0.0
0.75,5.800531,5.884646,5.783478,0.958022,5.8,0.053058
1.0,5.89,5.97673,5.885643,0.943603,5.89,0.0
1.25,5.965826,6.054804,5.951503,0.929153,5.97,-0.417385
1.5,6.045935,6.137318,6.038288,0.91453,6.06,-1.406522
1.75,6.125683,6.219493,6.109037,0.899793,6.15,-2.431696
2.0,6.199646,6.295735,6.186713,0.885051,6.24,-4.035397
2.25,6.263501,6.361579,6.242725,0.870431,6.31,-4.649925
2.5,6.318114,6.41791,6.300162,0.855979,6.37,-5.188609
2.75,6.36565,6.466953,6.341048,0.841704,6.39,-2.435039
3.0,6.408272,6.510937,6.385915,0.827594,6.4,0.827199
3.25,6.447956,6.551897,6.419544,0.813628,6.41,3.795643
3.5,6.485923,6.591091,6.459005,0.799792,6.45,3.592339
3.75,6.523205,6.629585,6.490305,0.786065,6.5,2.320455
4.0,6.560832,6.668443,6.528466,0.772425,6.56,0.083164
4.25,6.599554,6.708439,6.560785,0.758849,6.61,-1.044601
4.5,6.638991,6.749182,6.599635,0.745349,6.65,-1.100856
4.75,6.678481,6.789987,6.632302,0.731948,6.67,0.848146
5.0,6.717362,6.830169,6.669868,0.718672,6.7,1.736151
5.25,6.755023,6.869098,6.700641,0.705547,6.76,-0.497749
5.5,6.791069,6.906366,6.735098,0.692597,6.81,-1.893094
5.75,6.825159,6.941616,6.76256,0.679839,6.85,-2.484077
6.0,6.856951,6.974496,6.792861,0.667296,6.87,-1.304893
6.25,6.886179,7.004728,6.816043,0.654985,6.88,0.617936
6.5,6.912886,7.032356,6.841666,0.642913,6.9,1.288584
6.75,6.937189,7.0575,6.860629,0.63108,6.92,1.718896
7.0,6.959207,7.080284,6.882038,0.619489,6.94,1.920719
7.25,6.979094,7.100863,6.897291,0.608136,6.98,-0.090595
7.5,6.997143,7.119543,6.915177,0.597014,7.01,-1.28567
7.75,7.013684,7.136663,6.927634,0.586111,7.04,-2.631625
8.0,7.029044,7.152563,6.943075,0.575413,7.06,-3.095578
8.25,7.043554,7.167583,6.953792,0.564907,7.06,-1.644646
8.5,7.057541,7.182063,6.96784,0.554577,7.05,0.754052
8.75,7.071267,7.196274,6.977776,0.544412,7.04,3.126735
9.0,7.08473,7.210213,6.991097,0.53441,7.05,3.472972
9.25,7.097857,7.223806,7.000406,0.524573,7.07,2.78567
9.5,7.110577,7.236978,7.012881,0.514904,7.1,1.057735
9.75,7.122821,7.249657,7.021385,0.505405,7.13,-0.717927
