t,cash_flow,zcyc,pv_calc,pv_annex,norm_calc,norm_annex,pv_diff,norm_diff
0.5,6.15,4.0683,6.027394,6.0274,5.656327,5.6564,-6e-06,-7.3e-05
1.0,6.15,4.6948,5.871127,5.8711,5.509681,5.5098,2.7e-05,-0.000119
1.5,6.15,5.3212,5.684126,5.6841,5.334192,5.3343,2.6e-05,-0.000108
2.0,6.15,5.6128,5.505471,5.5055,5.166536,5.1666,-2.9e-05,-6.4e-05
2.5,6.15,5.9044,5.317371,5.3174,4.990016,4.9901,-2.9e-05,-8.4e-05
3.0,6.15,6.1339,5.130487,5.1305,4.814637,4.8147,-1.3e-05,-6.3e-05
3.5,6.15,6.3633,4.939214,4.9392,4.635139,4.6352,1.4e-05,-6.1e-05
4.0,6.15,6.4744,4.766344,4.7663,4.472912,4.473,4.4e-05,-8.8e-05
4.5,6.15,6.5855,4.594588,4.5946,4.311729,4.3118,-1.2e-05,-7.1e-05
5.0,6.15,6.7227,4.418688,4.4187,4.146659,4.1467,-1.2e-05,-4.1e-05
5.5,6.15,6.8599,4.243905,4.2439,3.982636,3.9827,5e-06,-6.4e-05
6.0,6.15,6.9971,4.070652,4.0707,3.820048,3.8201,-4.8e-05,-5.2e-05
6.5,106.15,7.1343,67.302883,67.3029,63.159489,63.1606,-1.7e-05,-0.001111
