isin,coupon,maturity,t_years,price,accrued,dirty_price,ytm,input_status,exact_zero_at_maturity,fbil_zero_at_maturity,fbil_curve_repricing_error
IN0020220011,7.1,2029-04-18,2.59001,101.7371,2.90984,104.64694,6.3589,Proxy,6.38206,6.38098,0.00251
IN0020160118,6.79,2029-12-26,3.27995,101.1519,1.5027,102.6546,6.3907,Proxy,6.4087,6.41322,-0.01053
IN0020250141,6.36,2031-02-16,4.42163,99.057,0.51848,99.57548,6.6077,T,6.64148,6.6395,0.0073
IN0020260074,6.53,2031-09-07,4.97741,99.5544,0.14431,99.69871,6.636,T,6.67769,6.69585,-0.06469
IN0020210244,6.54,2032-01-17,5.33881,99.1294,1.0663,100.1957,6.7342,Proxy,6.78754,6.77954,0.02967
IN0020220060,7.26,2032-08-22,5.93566,102.1782,0.47348,102.65168,6.8064,T,6.87573,6.86664,0.03673
IN0020250133,6.68,2033-01-27,6.36824,99.2854,0.90761,100.19301,6.8181,T,6.87737,6.88841,-0.04345
IN0020260066,6.57,2033-08-17,6.92129,98.3895,0.51774,98.90724,6.8649,T,6.93363,6.93177,0.00796
IN0020240019,7.1,2034-04-08,7.56194,100.989,3.10383,104.09283,6.9286,T,7.01729,7.01734,-0.00139
IN0020240126,6.79,2034-10-07,8.06023,98.8801,2.98686,101.86696,6.9729,T,7.06557,7.06164,0.017
IN0020250026,6.33,2035-05-05,8.63518,95.9401,2.28774,98.22784,6.9616,Proxy,7.04225,7.043,-0.00412
IN0020250091,6.48,2035-10-06,9.05681,96.6981,2.8682,99.5663,6.977,T,7.05843,7.05384,0.02129
IN0020260025,6.94,2036-05-11,9.65366,99.4609,2.39505,101.85595,7.0159,T,7.11446,7.11946,-0.02447
IN0020220102,7.41,2036-12-19,10.26146,102.4757,1.78164,104.25734,7.0645,T,7.18302,7.17084,0.06187
IN0020230077,7.18,2037-07-24,10.85558,100.9415,1.03408,101.97558,7.0528,T,7.15605,7.16966,-0.06602
IN0020250042,6.68,2040-07-07,13.80972,95.9048,1.27065,97.17545,7.1499,T,7.27856,7.23377,0.25214
IN0020260041,7.06,2041-07-27,14.86379,99.2975,0.95924,100.25674,7.1361,T,7.25225,7.31817,-0.31008
IN0020150044,8.13,2045-06-22,18.76797,107.5697,1.88811,109.45781,7.3769,Proxy,7.73557,7.70136,0.091
IN0020220086,7.36,2052-09-12,25.99316,97.386,0.06099,97.44699,7.5918,Proxy,8.14686,8.11992,0.02053
IN0020230051,7.3,2053-06-19,26.75975,96.3417,1.75519,98.09689,7.6209,T,8.2278,8.14024,0.22265
IN0020250075,7.24,2055-08-18,28.92266,95.732,0.55087,96.28287,7.6062,T,8.12237,8.17959,-0.20158
IN0020260082,7.63,2056-09-15,30.00137,100.1862,0.0,100.1862,7.6141,T,8.17328,8.20002,-0.12703
IN0020240035,7.34,2064-04-22,37.60164,95.4557,2.92798,98.38368,7.7111,T,8.47431,8.39972,0.22681
IN0020250018,6.9,2065-04-15,38.58179,90.1498,2.88443,93.03423,7.7013,T,8.34232,8.40005,0.0059
IN0020260033,7.71,2066-05-18,39.67146,100.2871,2.51413,102.80123,7.6854,T,8.28932,8.38904,-0.04773
IN0020250117,7.43,2076-01-19,49.34428,96.8393,1.17103,98.01033,7.6775,Proxy,8.07304,8.13594,-0.0478
