isin,coupon,maturity,price,ytm,is_input
IN0020020247,6.01,2028-03-25,99.717,6.2053,False
IN0020230101,7.37,2028-10-23,102.2353,6.2162,False
IN0020150069,7.59,2029-03-20,102.6633,6.4251,False
IN0020190362,6.45,2029-10-07,100.1392,6.3972,False
IN0020150028,7.88,2030-03-19,104.1743,6.5299,False
IN0020130053,9.2,2030-09-30,109.0996,6.5967,False
IN0020250141,6.36,2031-02-16,99.057,6.6077,True
IN0020170042,6.68,2031-09-17,100.1713,6.6391,False
IN0020060086,8.28,2032-02-15,106.6467,6.7908,False
IN0020070077,8.33,2032-09-21,107.2697,6.8356,False
IN0020220151,7.26,2033-02-06,102.113,6.8443,False
IN0020260066,6.57,2033-08-17,98.3895,6.8649,True
IN0020240019,7.1,2034-04-08,100.989,6.9286,True
IN0020200096,6.19,2034-09-16,94.9148,7.0317,False
IN0020200245,6.22,2035-03-16,95.31,6.96,False
IN0020050012,7.4,2035-09-09,102.8808,6.963,False
IN0020260025,6.94,2036-05-11,99.4609,7.0159,True
IN0020220102,7.41,2036-12-19,102.4757,7.0645,True
IN0020230077,7.18,2037-07-24,100.9415,7.0528,True
IN0020240027,7.23,2039-04-15,100.6828,7.1458,False
IN0020190024,7.62,2039-09-15,104.3696,7.0997,False
IN0020250042,6.68,2040-07-07,95.9048,7.1499,True
IN0020120062,8.3,2042-12-31,109.7046,7.2719,False
IN0020160068,7.06,2046-10-10,95.9347,7.4529,False
IN0020200054,7.16,2050-09-20,95.8419,7.5371,False
IN0020240118,7.09,2054-08-05,94.0569,7.6054,False
IN0020190057,7.63,2059-06-17,99.538,7.6672,False
IN0020260033,7.71,2066-05-18,100.2871,7.6854,True
IN0020250117,7.43,2076-01-19,96.8393,7.6775,True
