strip,t_years,price_own_smoothed_PRIMARY,price_own_exact_fit,price_FBIL_published_comparison,own_minus_FBIL_paise,exact_minus_FBIL_paise
GS02JAN2027C,0.29843,96.45368,96.62881,96.4393,1.43874,18.95141
GS02JUL2027C,0.79398,93.59976,93.77078,93.58559,1.41667,18.51915
GS02JAN2028C,1.29774,90.75005,90.90297,90.72916,2.08884,17.38038
GS02JUL2028C,1.79603,87.88002,87.98102,87.82451,5.55079,15.6515
GS02JAN2029C,2.29979,84.98652,85.03036,84.88138,10.51332,14.89756
GS02JUL2029C,2.79535,82.20381,82.30992,82.15009,5.37274,15.98288
GS02JAN2030C,3.29911,79.43812,79.6961,79.52701,-8.88859,16.90843
GS02JUL2030C,3.79466,76.76591,76.94872,76.80887,-4.29536,13.98501
GS02JAN2031C,4.29843,74.08215,74.15379,74.0345,4.76554,11.92952
GS02JUL2031C,4.79398,71.47391,71.70667,71.50239,-2.84731,20.42798
GS02JAN2032C,5.29774,68.87378,68.95355,68.83187,4.19059,12.16776
GS02JUL2032C,5.79603,66.3711,66.35087,66.2712,9.98967,7.96728
GS02JAN2033C,6.29979,63.92677,64.10484,63.94997,-2.32001,15.48703
GS02JUL2033C,6.79535,61.61469,61.82531,61.6797,-6.50142,14.56071
GS02JAN2034C,7.29911,59.35898,59.46658,59.33246,2.65199,13.41188
GS02JUL2034C,7.79466,57.2284,57.20149,57.09763,13.07679,10.38629
GS02JAN2035C,8.29843,55.14254,55.18522,55.07959,6.29483,10.56246
GS02JUL2035C,8.79398,53.15862,53.3905,53.30105,-14.24321,8.94503
GS02JAN2036C,9.29774,51.20653,51.40722,51.31473,-10.81986,9.24839
GS02JUL2036C,9.79603,49.34144,49.38934,49.29056,5.08758,9.87738
GS02JAN2037C,10.29979,47.52408,47.43936,47.39503,12.90495,4.43339
GS02JUL2037C,10.79535,45.80391,45.92366,45.78767,1.62329,13.59879
GS02JAN2038C,11.29911,44.12361,44.39894,44.24153,-11.79196,15.74022
GS02JUL2038C,11.79466,42.53757,42.80677,42.72354,-18.59715,8.32282
GS02JAN2039C,12.29843,40.99215,41.15112,41.18231,-19.01596,-3.1186
GS02JUL2039C,12.79398,39.52905,39.54443,39.71266,-18.36086,-16.82322
GS02JAN2040C,13.29774,38.08467,37.99385,38.22028,-13.56141,-22.64325
GS02JUL2040C,13.79603,36.68347,36.60147,36.75262,-6.91478,-15.11553
GS02JAN2041C,14.29979,35.28022,35.36402,35.25996,2.02587,10.40536
GS02JUL2041C,14.79535,33.90886,34.20369,33.84269,6.61695,36.09939
GS02JAN2042C,15.29911,32.5278,32.95132,32.39217,13.56319,55.91535
GS02JUL2042C,15.79466,31.1863,31.63452,31.06063,12.56767,57.38935
GS02JAN2043C,16.29843,29.84433,30.24058,29.70827,13.60612,53.23067
GS02JUL2043C,16.79398,28.54999,28.84572,28.42152,12.84698,42.42064
GS02JAN2044C,17.29774,27.26473,27.43439,27.15668,10.80485,27.77094
GS02JUL2044C,17.79603,26.02848,26.07361,25.94899,7.94859,12.46201
GS02JAN2045C,18.29979,24.81901,24.7602,24.77061,4.83967,-1.04131
GS02JUL2045C,18.79535,23.6733,23.55284,23.65848,1.48281,-10.56333
GS02JAN2046C,19.29911,22.55746,22.4264,22.59734,-3.98852,-17.09365
GS02JUL2046C,19.79466,21.51135,21.40956,21.56465,-5.32979,-15.50902
GS02JAN2047C,20.29843,20.50322,20.45642,20.58482,-8.16031,-12.83973
GS02JUL2047C,20.79398,19.56571,19.58695,19.70306,-13.73459,-11.61113
GS02JAN2048C,21.29774,18.66531,18.76166,18.792,-12.66816,-3.03387
GS02JUL2048C,21.79603,17.82447,17.99358,17.97006,-14.55936,2.35162
GS02JAN2049C,22.29979,17.02227,17.25643,17.16771,-14.54449,8.87142
GS02JUL2049C,22.79535,16.2778,16.56131,16.40942,-13.16278,15.18856
GS02JAN2050C,23.29911,15.56408,15.87701,15.67317,-10.90926,20.38355
GS02JUL2050C,23.79466,14.90222,15.21843,15.00507,-10.28525,21.33653
GS02JAN2051C,24.29843,14.26805,14.55685,14.35301,-8.49591,20.38396
GS02JUL2051C,24.79398,13.67914,13.90777,13.73668,-5.75414,17.10861
GS02JAN2052C,25.29774,13.11217,13.24432,13.13502,-2.28548,10.92966
GS02JUL2052C,25.79603,12.57926,12.58012,12.56737,1.18825,1.27464
GS02JAN2053C,26.29979,12.06532,11.90267,12.03594,2.93793,-13.32739
GS02JUL2053C,26.79535,11.58108,11.30682,11.54375,3.73249,-23.69268
GS02JAN2054C,27.29911,11.10756,10.85658,11.06004,4.7524,-20.34561
GS02JUL2054C,27.79466,10.6576,10.5205,10.60794,4.96667,-8.74316
GS02JAN2055C,28.29843,10.2139,10.22062,10.15856,5.53404,6.20598
GS02JUL2055C,28.79398,9.79011,9.90495,9.73617,5.39474,16.87845
GS02JAN2056C,29.29774,9.37248,9.51091,9.32442,4.80607,18.64874
GS02JUL2056C,29.79603,8.97272,9.06371,8.93289,3.98262,13.08224
GS02JAN2057C,30.29979,8.58225,8.59885,8.54841,3.38364,5.04347
GS02JUL2057C,30.79535,8.21175,8.15041,8.19384,1.79147,-4.34265
GS02JAN2058C,31.29911,7.84907,7.70839,7.81778,3.12851,-10.93919
GS02JUL2058C,31.79466,7.50609,7.29091,7.49123,1.48597,-20.03205
7.13%GS02JUL2058P,31.79466,7.50609,7.29091,7.49123,1.48597,-20.03205
