strip,strip_type,date,t_years,cash_flow,zero_pct,discount_factor,pv_unnormalised,normalised_value,strip_face_per_100_parent,strip_price_per_100_face,strip_yield_semi_pct,face_rs_per_1cr_parent,alt_strip_price_per_100_face,alt_strip_yield_semi_pct
GS02JAN2027C,Coupon,2027-01-02,0.298426,3.565,5.270614,0.984595,3.51008,3.438574,3.565,96.453684,12.472714,356500.0,98.406583,5.455486
GS02JUL2027C,Coupon,2027-07-02,0.793977,3.565,5.821356,0.955462,3.406222,3.336831,3.565,93.599758,8.506448,356500.0,95.410075,6.006227
GS02JAN2028C,Coupon,2028-01-02,1.297741,3.565,5.98093,0.926372,3.302517,3.235239,3.565,90.750053,7.620843,356500.0,92.421781,6.165801
GS02JUL2028C,Coupon,2028-07-02,1.79603,3.565,6.139902,0.897075,3.198073,3.132923,3.565,87.880018,7.324449,356500.0,89.419118,6.324774
GS02JAN2029C,Coupon,2029-01-02,2.299795,3.565,6.275047,0.867538,3.092774,3.029769,3.565,84.986515,7.200146,356500.0,86.397107,6.459918
GS02JUL2029C,Coupon,2029-07-02,2.795346,3.565,6.373682,0.839133,2.991508,2.930566,3.565,82.203815,7.134845,356500.0,83.494255,6.558553
GS02JAN2030C,Coupon,2030-01-02,3.29911,3.565,6.455518,0.810901,2.890861,2.831969,3.565,79.438125,7.100527,356500.0,80.612581,6.640389
GS02JUL2030C,Coupon,2030-07-02,3.794661,3.565,6.529871,0.783623,2.793616,2.736705,3.565,76.765915,7.090736,356500.0,77.831979,6.714743
GS02JAN2031C,Coupon,2031-01-02,4.298426,3.565,6.607158,0.756227,2.69595,2.641029,3.565,74.082154,7.102397,356500.0,75.043485,6.792029
GS02JUL2031C,Coupon,2031-07-02,4.793977,3.565,6.685384,0.729602,2.601032,2.548045,3.565,71.473912,7.129543,356500.0,72.337481,6.870255
