lam,slope,2026-08-05,2026-08-14,2026-08-21,2026-08-28,2026-09-11,august_mean
0.002,0.0,6.127,5.369,2.86,2.715,6.179,4.268
0.002,0.1,5.637,4.808,2.122,2.181,4.303,3.687
0.002,0.2,5.382,4.468,1.816,1.911,3.671,3.394
0.002,0.3,5.231,4.253,1.665,1.729,3.329,3.22
0.002,0.5,5.11,3.986,1.517,1.474,2.839,3.022
0.002,1.0,5.297,3.68,1.269,1.083,2.042,2.832
0.005,0.0,5.818,4.92,2.398,2.441,4.72,3.894
0.005,0.1,5.257,4.218,1.696,1.805,3.335,3.244
0.005,0.2,5.137,3.931,1.522,1.493,2.759,3.021
0.005,0.3,5.218,3.765,1.391,1.275,2.336,2.912
0.005,0.5,5.516,3.644,1.179,0.988,1.749,2.832
0.005,1.0,6.314,3.911,1.099,1.016,1.438,3.085
0.01,0.0,5.549,4.443,2.033,2.212,3.814,3.559
0.01,0.1,5.195,3.847,1.518,1.48,2.619,3.01
0.01,0.2,5.465,3.655,1.275,1.118,1.925,2.878
0.01,0.3,5.807,3.7,1.121,0.938,1.507,2.891
0.01,0.5,6.418,3.957,1.147,1.086,1.47,3.152
0.01,1.0,7.362,4.964,1.754,1.826,2.223,3.976
0.02,0.0,5.373,4.079,1.807,1.962,3.294,3.305
0.02,0.1,5.675,3.656,1.273,1.098,1.776,2.925
0.02,0.2,6.329,3.887,1.158,1.068,1.426,3.111
0.02,0.3,6.828,4.294,1.347,1.353,1.657,3.456
0.02,0.5,7.49,5.063,1.842,1.932,2.29,4.082
0.02,1.0,8.357,6.154,2.644,2.818,3.303,4.993
0.05,0.0,5.5,3.781,1.653,1.564,2.387,3.125
0.05,0.1,7.02,4.413,1.49,1.526,1.703,3.612
0.05,0.2,7.784,5.339,2.063,2.206,2.469,4.348
0.05,0.3,8.238,5.93,2.481,2.669,3.0,4.83
0.05,0.5,8.775,6.639,3.045,3.278,3.751,5.434
0.05,1.0,9.479,7.485,3.977,4.175,4.985,6.279
0.1,0.0,6.252,3.788,1.504,1.394,1.59,3.234
0.1,0.1,8.127,5.714,2.373,2.563,2.714,4.694
0.1,0.2,8.772,6.587,3.023,3.257,3.57,5.41
0.1,0.3,9.139,7.072,3.452,3.702,4.163,5.841
0.1,0.5,9.617,7.637,4.146,4.341,5.076,6.436
0.1,1.0,10.403,8.382,5.591,5.542,6.761,7.479
