tenor_years,fbil_zero_semi,exact_zero_semi,exact_diff_bp,smooth_zero_semi,smooth_diff_bp,fbil_par_semi,exact_par_semi,smooth_par_semi,exact_par_diff_bp,smooth_par_diff_bp
0.25,5.18,5.18,0.0,5.18,0.0,5.15,5.14689,5.14689,-0.31131,-0.31131
0.5,5.59,5.59,0.0,5.59,0.0,5.59,5.59,5.59,-0.0,-0.0
0.75,5.8,5.79918,-0.08239,5.80053,0.05306,5.78,5.78214,5.78348,0.21369,0.34776
1.0,5.89,5.89,0.0,5.89,0.0,5.89,5.88564,5.88564,-0.43565,-0.43565
1.25,5.97,5.97398,0.39775,5.96583,-0.41738,5.96,5.95943,5.9515,-0.05687,-0.84972
1.5,6.06,6.06705,0.70471,6.04593,-1.40652,6.05,6.05875,6.03829,0.87464,-1.17115
1.75,6.15,6.16126,1.12559,6.12568,-2.4317,6.14,6.14333,6.10904,0.33301,-3.09627
2.0,6.24,6.24865,0.86507,6.19965,-4.0354,6.23,6.23385,6.18671,0.38513,-4.32867
2.25,6.31,6.32128,1.12785,6.2635,-4.64992,6.29,6.29816,6.24273,0.8161,-4.72748
2.5,6.37,6.37119,0.11862,6.31811,-5.18861,6.35,6.35137,6.30016,0.13718,-4.98383
2.75,6.39,6.39186,0.18554,6.36565,-2.43504,6.37,6.36753,6.34105,-0.24675,-2.89525
3.0,6.4,6.39517,-0.48289,6.40827,0.8272,6.38,6.37649,6.38592,-0.35093,0.59153
3.25,6.41,6.40577,-0.4234,6.44796,3.79564,6.39,6.38364,6.41954,-0.63619,2.95442
3.5,6.45,6.44387,-0.6127,6.48592,3.59234,6.43,6.42299,6.459,-0.70143,2.90045
3.75,6.5,6.50297,0.2974,6.5232,2.32046,6.47,6.47342,6.4903,0.34156,2.03046
4.0,6.56,6.56701,0.70137,6.56083,0.08316,6.53,6.53466,6.52847,0.46614,-0.15342
4.25,6.61,6.61993,0.99251,6.59955,-1.0446,6.57,6.57923,6.56078,0.92307,-0.92153
4.5,6.65,6.64597,-0.40318,6.63899,-1.10086,6.61,6.60651,6.59964,-0.34883,-1.03647
4.75,6.67,6.65216,-1.78445,6.67848,0.84815,6.62,6.6107,6.6323,-0.93005,1.2302
5.0,6.7,6.68268,-1.73232,6.71736,1.73615,6.65,6.64123,6.66987,-0.87706,1.98681
5.25,6.76,6.75928,-0.07156,6.75502,-0.49775,6.7,6.70454,6.70064,0.45369,0.06408
5.5,6.81,6.82819,1.81893,6.79107,-1.89309,6.76,6.76602,6.7351,0.60189,-2.49024
5.75,6.85,6.86519,1.51873,6.82516,-2.48408,6.79,6.79596,6.76256,0.59625,-2.74402
6.0,6.87,6.87666,0.66587,6.85695,-1.30489,6.81,6.80989,6.79286,-0.0114,-1.71394
6.25,6.88,6.87548,-0.45171,6.88618,0.61794,6.82,6.80878,6.81604,-1.12196,-0.39572
6.5,6.9,6.88489,-1.51104,6.91289,1.28858,6.83,6.82061,6.84167,-0.93898,1.16659
6.75,6.92,6.91123,-0.87744,6.93719,1.7189,6.85,6.8411,6.86063,-0.89041,1.06292
7.0,6.94,6.94399,0.39944,6.95921,1.92072,6.87,6.87071,6.88204,0.07062,1.20384
7.25,6.98,6.97646,-0.35401,6.97909,-0.0906,6.9,6.89559,6.89729,-0.44064,-0.2709
7.5,7.01,7.00906,-0.09394,6.99714,-1.28567,6.93,6.92452,6.91518,-0.54785,-1.48231
7.75,7.04,7.04168,0.16757,7.01368,-2.63163,6.95,6.94915,6.92763,-0.08479,-2.23662
8.0,7.06,7.06365,0.36522,7.02904,-3.09558,6.96,6.96956,6.94307,0.95626,-1.69254
8.25,7.06,7.06182,0.18211,7.04355,-1.64465,6.96,6.96832,6.95379,0.83214,-0.62082
8.5,7.05,7.04724,-0.27568,7.05754,0.75405,6.96,6.96154,6.96784,0.15435,0.78401
8.75,7.04,7.0426,0.25957,7.07127,3.12673,6.96,6.95818,6.97778,-0.1822,1.77762
9.0,7.05,7.05454,0.45354,7.08473,3.47297,6.97,6.97027,6.9911,0.02731,2.10972
9.25,7.07,7.07297,0.29725,7.09786,2.78567,6.98,6.98323,7.00041,0.32253,2.04057
9.5,7.1,7.09634,-0.36567,7.11058,1.05773,7.0,7.00307,7.01288,0.30705,1.28811
9.75,7.13,7.12748,-0.25243,7.12282,-0.71793,7.02,7.02465,7.02138,0.46481,0.13847
10.0,7.15,7.16141,1.14075,7.13452,-1.54841,7.05,7.05136,7.03285,0.13588,-1.71451
10.25,7.17,7.18262,1.26191,7.1456,-2.43993,7.06,7.0658,7.04039,0.58019,-1.96087
10.5,7.18,7.17964,-0.03563,7.15605,-2.39522,7.06,7.06725,7.05075,0.72461,-0.92549
10.75,7.17,7.16305,-0.69503,7.16584,-0.41612,7.06,7.05633,7.05725,-0.3667,-0.27454
11.0,7.17,7.14913,-2.08676,7.17496,0.49552,7.06,7.05038,7.06648,-0.96248,0.64785
11.25,7.16,7.14449,-1.55134,7.18338,2.33785,7.06,7.04724,7.07194,-1.27646,1.1945
11.5,7.16,7.14779,-1.22119,7.19109,3.10901,7.06,7.0523,7.08003,-0.76998,2.0032
11.75,7.16,7.15748,-0.25185,7.19807,3.80716,7.06,7.0583,7.08444,-0.16995,2.44414
12.0,7.16,7.17201,1.20112,7.2043,4.43045,7.06,7.07032,7.09139,1.03211,3.13853
12.25,7.17,7.18982,1.98217,7.20983,3.98316,7.07,7.08128,7.09476,1.12829,2.47637
12.5,7.17,7.20936,3.93574,7.21494,4.49409,7.07,7.09617,7.10083,2.61733,3.08256
12.75,7.18,7.22906,4.90627,7.21998,3.99815,7.08,7.1081,7.1038,2.81011,2.38
13.0,7.19,7.24738,5.73821,7.2253,3.53028,7.09,7.12199,7.10982,3.1987,1.98222
13.25,7.2,7.26276,6.27602,7.23125,3.1254,7.09,7.13112,7.11325,4.11196,2.32451
13.5,7.22,7.27364,5.36412,7.23818,1.81844,7.11,7.14036,7.12006,3.03615,1.00636
13.75,7.23,7.27847,4.84697,7.24644,1.64433,7.11,7.14317,7.12474,3.31656,1.47423
14.0,7.25,7.27608,2.60812,7.25638,0.63798,7.13,7.14455,7.13315,1.45493,0.31463
14.25,7.27,7.26859,-0.14074,7.26827,-0.17341,7.14,7.14021,7.13979,0.02139,-0.02058
14.5,7.29,7.25976,-3.0241,7.28206,-0.79362,7.15,7.13783,7.15021,-1.21716,0.02132
14.75,7.31,7.25335,-5.66522,7.29766,-1.23414,7.16,7.13406,7.1588,-2.59386,-0.12014
15.0,7.33,7.253,-7.69953,7.31494,-1.50649,7.18,7.13632,7.17094,-4.36762,-0.90586
15.25,7.36,7.26009,-9.99073,7.33378,-2.62217,7.19,7.13996,7.18113,-5.00381,-0.88721
15.5,7.38,7.27394,-10.60565,7.35407,-2.59268,7.21,7.14985,7.19467,-6.01504,-1.53323
15.75,7.4,7.29382,-10.61817,7.3757,-2.42954,7.22,7.16026,7.20613,-5.97417,-1.38708
16.0,7.43,7.31898,-11.10219,7.39856,-3.14426,7.23,7.17595,7.22075,-5.40528,-0.92493
16.25,7.45,7.34868,-10.1316,7.42252,-2.74833,7.25,7.19127,7.23317,-5.87287,-1.68252
16.5,7.48,7.3822,-9.78029,7.44747,-3.25326,7.26,7.21094,7.24858,-4.90575,-1.14233
16.75,7.5,7.41878,-8.12216,7.47329,-2.67057,7.28,7.2294,7.26167,-5.06013,-1.83335
17.0,7.53,7.45769,-7.23109,7.49988,-3.01175,7.29,7.25133,7.27756,-3.86733,-1.24362
17.25,7.55,7.49819,-5.18099,7.52711,-2.28884,7.3,7.27125,7.29104,-2.87542,-0.89625
17.5,7.58,7.53954,-4.04574,7.55484,-2.51597,7.32,7.29383,7.30715,-2.61668,-1.28544
17.75,7.6,7.58101,-1.89924,7.58292,-1.70777,7.33,7.31369,7.3207,-1.63127,-0.92986
18.0,7.63,7.62185,-0.81538,7.61121,-1.87891,7.34,7.33548,7.33672,-0.45161,-0.32823
18.25,7.65,7.66132,1.13194,7.63956,-1.04402,7.36,7.3539,7.35006,-0.6103,-0.99391
